# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.055940382182598114e-02 3.136000000000000000e+05 9.999999439624929209e-11 0.000000000000000000e+00 3.183115966796875000e+03 3.056735731661319733e-02 3.136000000000000000e+05 9.999999439624929209e-11 0.000000000000000000e+00 3.183115966796875000e+03 9.999999985958673010e-01
1.000000000000000000e+03 5.429046630859375000e+00 2.465834375000000000e+05 2.035532226562500000e+02 7.973677274009105531e-10 2.561027832031250000e+03 5.429038047790527344e+00 2.465834375000000000e+05 2.035532226562500000e+02 7.973677274009105531e-10 2.561027832031250000e+03 9.999992572444617034e-01
2.000000000000000000e+03 5.428013801574707031e+00 2.006733750000000000e+05 2.035508880615234375e+02 1.919264747130000615e-11 2.561039550781250000e+03 5.428011894226074219e+00 2.006733750000000000e+05 2.035508880615234375e+02 1.919264747130000615e-11 2.561039550781250000e+03 9.999986998743178868e-01
3.000000000000000000e+03 5.427711486816406250e+00 1.607779687500000000e+05 2.035507507324218750e+02 2.242706020894047469e-12 2.561041015625000000e+03 5.427711009979248047e+00 1.607779687500000000e+05 2.035507507324218750e+02 2.242706020894047469e-12 2.561041015625000000e+03 9.999981609757450096e-01
4.000000000000000000e+03 5.427453517913818359e+00 1.260952578125000000e+05 2.035509185791015625e+02 1.265709759223909714e-12 2.561041259765625000e+03 5.427453517913818359e+00 1.260952578125000000e+05 2.035509185791015625e+02 1.265709759223909714e-12 2.561041259765625000e+03 9.999976349452478486e-01
5.000000000000000000e+03 5.427175998687744141e+00 9.621054687500000000e+04 2.035514068603515625e+02 1.385254222441290040e-08 2.561041259765625000e+03 5.427175998687744141e+00 9.621054687500000000e+04 2.035514068603515625e+02 1.385254222441290040e-08 2.561041259765625000e+03 9.999971198291381924e-01
6.000000000000000000e+03 5.426856040954589844e+00 7.086730468750000000e+04 2.035515899658203125e+02 9.903224963636603206e-06 2.561041015625000000e+03 5.426856517791748047e+00 7.086730468750000000e+04 2.035515899658203125e+02 9.903224963636603206e-06 2.561041015625000000e+03 9.999966155955453129e-01
7.000000000000000000e+03 5.426497459411621094e+00 4.987156640625000000e+04 2.035518951416015625e+02 1.533353444216345451e-10 2.561040527343750000e+03 5.426496982574462891e+00 4.987156640625000000e+04 2.035518951416015625e+02 1.533353444216345451e-10 2.561040527343750000e+03 9.999961237960036664e-01
8.000000000000000000e+03 5.426111698150634766e+00 3.303671093750000000e+04 2.035524902343750000e+02 4.775340678442319131e-10 2.561040039062500000e+03 5.426112651824951172e+00 3.303671093750000000e+04 2.035524902343750000e+02 4.775340678442319131e-10 2.561040039062500000e+03 9.999956472251653183e-01
9.000000000000000000e+03 5.425689220428466797e+00 2.014511132812500000e+04 2.035527954101562500e+02 1.449512732065727505e-11 2.561040039062500000e+03 5.425689220428466797e+00 2.014511132812500000e+04 2.035527954101562500e+02 1.449512732065727505e-11 2.561040039062500000e+03 9.999951905245967332e-01
